# searchstr_len	keystr_len	poor_search_avg(sec)	poor_search_err(sec)	sauto_index_avg(sec)	sauto_index_err(sec)	sauto_search_avg(sec)	sauto_search_err(sec)	sarray_index_avg(sec)	sarray_index_err(sec)	sarray_search_avg(sec)	sarray_search_err(sec)	
1024	8	0.000003	0.000000	0.000406	0.000017	0.000000	0.000000	0.000063	0.000001	0.000001	0.000000	
2048	8	0.000005	0.000000	0.000773	0.000021	0.000001	0.000000	0.000138	0.000001	0.000001	0.000000	
4096	8	0.000009	0.000000	0.001513	0.000031	0.000000	0.000000	0.000312	0.000005	0.000001	0.000000	
8192	8	0.000017	0.000000	0.003191	0.000094	0.000001	0.000000	0.000686	0.000016	0.000001	0.000000	
16384	8	0.000034	0.000000	0.007023	0.000147	0.000000	0.000000	0.001502	0.000032	0.000001	0.000000	
32768	8	0.000067	0.000000	0.015212	0.000191	0.000001	0.000000	0.003323	0.000051	0.000001	0.000000	
65536	8	0.000135	0.000000	0.031847	0.000236	0.000001	0.000000	0.007331	0.000082	0.000001	0.000000	
131072	8	0.000271	0.000001	0.074247	0.000580	0.000001	0.000000	0.015941	0.000124	0.000001	0.000000	
262144	8	0.000541	0.000000	0.189065	0.002990	0.000002	0.000000	0.035093	0.000163	0.000001	0.000000	
524288	8	0.001110	0.000001	0.465194	0.007455	0.000002	0.000000	0.079244	0.000598	0.000002	0.000000	
1048576	8	0.002434	0.000002	1.118682	0.018542	0.000003	0.000000	0.174741	0.000952	0.000002	0.000000	
2097152	8	0.005409	0.000007	2.584054	0.041641	0.000003	0.000000	0.401105	0.001633	0.000004	0.000000	
4194304	8	0.014017	0.000040	5.039671	0.009313	0.000004	0.000000	0.961456	0.000465	0.000006	0.000001	

# searchstr_len	keystr_len	poor_search_avg(sec)	poor_search_err(sec)	sauto_index_avg(sec)	sauto_index_err(sec)	sauto_search_avg(sec)	sauto_search_err(sec)	sarray_index_avg(sec)	sarray_index_err(sec)	sarray_search_avg(sec)	sarray_search_err(sec)	
1024	8	0.000001	0.000000	0.000408	0.000018	0.000000	0.000000	0.000063	0.000001	0.000001	0.000000	
2048	8	0.000003	0.000000	0.000761	0.000018	0.000001	0.000000	0.000138	0.000001	0.000001	0.000000	
4096	8	0.000006	0.000001	0.001485	0.000025	0.000001	0.000000	0.000313	0.000010	0.000001	0.000000	
8192	8	0.000009	0.000002	0.003222	0.000068	0.000001	0.000000	0.000679	0.000012	0.000001	0.000000	
16384	8	0.000019	0.000002	0.006914	0.000099	0.000001	0.000000	0.001483	0.000018	0.000001	0.000000	
32768	8	0.000031	0.000004	0.015087	0.000055	0.000001	0.000000	0.003290	0.000030	0.000002	0.000001	
65536	8	0.000068	0.000013	0.031614	0.000053	0.000002	0.000000	0.007257	0.000046	0.000001	0.000000	
131072	8	0.000135	0.000021	0.074374	0.000755	0.000002	0.000000	0.015802	0.000134	0.000001	0.000000	
262144	8	0.000284	0.000051	0.187614	0.002950	0.000003	0.000000	0.034747	0.000272	0.000002	0.000000	
524288	8	0.000592	0.000074	0.461982	0.007244	0.000003	0.000000	0.079546	0.000525	0.000002	0.000000	
1048576	8	0.000872	0.000152	1.121649	0.018628	0.000004	0.000000	0.174344	0.001004	0.000003	0.000000	
2097152	8	0.003295	0.000315	2.585969	0.041409	0.000004	0.000000	0.400492	0.001589	0.000004	0.000000	
4194304	8	0.007601	0.000996	5.039463	0.009529	0.000004	0.000000	0.961613	0.000652	0.000006	0.000001	
8388608	8	0.017531	0.001519	11.450690	0.019387	0.000005	0.000000	2.252119	0.000966	0.000007	0.000000	
16777216	8	0.062127	0.004110	25.924975	0.045161	0.000005	0.000000	5.721597	0.001471	0.000008	0.000000	

# searchstr_len	keystr_len	poor_search_avg(sec)	poor_search_err(sec)	sauto_index_avg(sec)	sauto_index_err(sec)	sauto_search_avg(sec)	sauto_search_err(sec)	sarray_index_avg(sec)	sarray_index_err(sec)	sarray_search_avg(sec)	sarray_search_err(sec)	
1048576	8	0.002431	0.000001	1.123735	0.018203	0.000003	0.000000	0.171991	0.001296	0.000002	0.000000	
1048576	16	0.002425	0.000003	1.118066	0.018731	0.000003	0.000000	0.175545	0.000805	0.000002	0.000000	
1048576	32	0.002430	0.000003	1.117386	0.018641	0.000003	0.000000	0.175254	0.000777	0.000002	0.000000	
1048576	64	0.002425	0.000002	1.119805	0.018803	0.000003	0.000000	0.175164	0.000767	0.000002	0.000000	
1048576	128	0.002419	0.000001	1.117481	0.018594	0.000003	0.000000	0.175051	0.000780	0.000002	0.000000	
1048576	256	0.002427	0.000003	1.120066	0.018961	0.000003	0.000000	0.174381	0.000960	0.000003	0.000000	
1048576	512	0.002425	0.000002	1.119563	0.018697	0.000004	0.000000	0.175328	0.000781	0.000003	0.000000	
1048576	1024	0.002668	0.000001	1.122244	0.018972	0.000005	0.000000	0.173744	0.001164	0.000003	0.000000	
1048576	2048	0.002665	0.000002	1.119086	0.018735	0.000008	0.000000	0.174595	0.000976	0.000005	0.000001	
1048576	4096	0.002677	0.000002	1.118169	0.018600	0.000014	0.000000	0.174526	0.001031	0.000007	0.000001	
1048576	8192	0.002664	0.000001	1.118934	0.018637	0.000025	0.000000	0.175242	0.000760	0.000011	0.000001	
1048576	16384	0.002652	0.000003	1.119787	0.018981	0.000047	0.000000	0.172795	0.001214	0.000019	0.000001	
1048576	32768	0.002618	0.000002	1.125403	0.019347	0.000091	0.000000	0.171252	0.001237	0.000036	0.000003	
1048576	65536	0.002558	0.000002	1.119414	0.018758	0.000179	0.000000	0.172852	0.001251	0.000074	0.000001	
1048576	131072	0.002463	0.000003	1.119335	0.018704	0.000354	0.000000	0.172982	0.001199	0.000154	0.000005	
1048576	262144	0.002264	0.000003	1.127283	0.018590	0.000706	0.000001	0.173563	0.001117	0.000297	0.000004	
1048576	524288	0.001929	0.000002	1.120080	0.018998	0.001408	0.000001	0.172934	0.001194	0.000599	0.000008	
1048576	1048576	0.001356	0.000002	1.118408	0.018586	0.002812	0.000001	0.175084	0.000768	0.001235	0.000009	

# searchstr_len	keystr_len	poor_search_avg(sec)	poor_search_err(sec)	sauto_index_avg(sec)	sauto_index_err(sec)	sauto_search_avg(sec)	sauto_search_err(sec)	sarray_index_avg(sec)	sarray_index_err(sec)	sarray_search_avg(sec)	sarray_search_err(sec)	
1048576	8	0.001162	0.000177	1.121365	0.018919	0.000004	0.000000	0.173722	0.001117	0.000003	0.000000	
1048576	16	0.001132	0.000154	1.121785	0.019021	0.000006	0.000000	0.172866	0.001256	0.000002	0.000000	
1048576	32	0.001483	0.000179	1.120788	0.018971	0.000010	0.000000	0.174514	0.001020	0.000002	0.000000	
